Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ARMK,Aramark,35.66,$9B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk
MED,MEDIFAST INC,85.82,$996.83M,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/med
NP,"Neenah, Inc.",58.94,$993.02M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/np
NBHC,National Bank Holdings Corporation,31.79,$991.1M,2012,Finance,Major Banks,https://old.nasdaq.com/symbol/nbhc
ENZ,"Enzo Biochem, Inc.",2.1,$99.87M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/enz
FOE,Ferro Corporation,12.06,$988.54M,n/a,Basic Industries,Paints/Coatings,https://old.nasdaq.com/symbol/foe
AZZ,AZZ Inc.,37.56,$985.57M,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/azz
CRY,"CryoLife, Inc.",25.2,$984.85M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cry
NEX,NexTier Oilfield Solutions Inc.,4.67,$981.75M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nex
GPRK,Geopark Ltd,16.45,$979.18M,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gprk
INN,"Summit Hotel Properties, Inc.",9.27,$974.97M,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/inn
DNOW,NOW Inc.,8.91,$973.04M,2014,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/dnow
PHX,Panhandle Royalty Company,5.99,$97.9M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/phx
KOF,Coca Cola Femsa S.A.B. de C.V.,57.94,$97.38B,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/kof
MODN,"Model N, Inc.",29.09,$969.69M,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/modn
HUD,Hudson Ltd.,10.49,$969.13M,2018,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/hud
CNX,CNX Resources Corporation,5.19,$968.68M,1999,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnx
TGI,"Triumph Group, Inc.",18.68,$968.54M,1996,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/tgi
CBL,"CBL & Associates Properties, Inc.",0.5577,$96.76M,1993,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cbl
STON,StoneMor Inc.,1.0245,$96.76M,2004,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ston
ACEL,"Accel Entertainment, Inc.",12.25,$959.23M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
MTRN,Materion Corporation,46.91,$957.21M,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/mtrn
HLX,"Helix Energy Solutions Group, Inc.",6.43,$956.84M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/hlx
